type              n    locations
User              3   oc-session-runner(oc-session-runner/src/session/message.rs), oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v1.rs)
Synthetic         3   oc-session-runner(oc-session-runner/src/session/message.rs), oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v2.rs)
System            3   oc-session-runner(oc-session-runner/src/session/message.rs), oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v2.rs)
Agent             2   oc-acp(oc-acp/src/agent.rs), oc-tui(oc-tui/src/types.rs)
Session           2   oc-acp(oc-acp/src/sdk.rs), oc-tui(oc-tui/src/types.rs)
Project           2   oc-project(oc-project/src/project/project.rs), oc-schema(oc-schema/src/location.rs)
AgentSwitched     2   oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v2.rs)
ModelSwitched     2   oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v2.rs)
TokenUsage        1   oc-schema(oc-schema/src/session_message.rs)
Credential        1   oc-llm(oc-llm/src/route/auth.rs)
